 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
127.0.0.1 - - [18/Apr/2023 23:58:04] "GET /assets/care-2081d842.svg HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:04] "GET /assets/customerBg-caa1126e.png HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:04] "GET /assets/arrow-870ce9cd.svg HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:04] "GET /assets/quote_bg-20c02549.svg HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:09] "GET /assets/index-93275e40.css HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:09] "GET /assets/index-6d7df298.js HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:10] "GET /user/get_language HTTP/1.0" 401 -
127.0.0.1 - - [18/Apr/2023 23:58:10] "GET /assets/navigationBar-883b4026.css HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:10] "GET /assets/ArrowBack-303a8345.js HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:10] "GET /assets/TravelDetailsView-adddcfa4.js HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:10] "GET /assets/ArrowForward-7f693d12.js HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:10] "GET /assets/footerView-90e3d045.css HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:10] "GET /assets/TravelDetailsView-d84fa048.css HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:10] "GET /assets/index.esm-a8d27367.js HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "GET /assets/navigationBar-bd8b69d6.js HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "GET /assets/footerView-25cfb081.js HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "GET /assets/logo-6efd2efa.png HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "GET /user/login_status HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "GET /assets/user-f345a87a.svg HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "POST /product/detail HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "GET /assets/language-2343cb3b.svg HTTP/1.0" 304 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "GET /src/assets/USD.svg HTTP/1.0" 404 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "POST /product/charge_detail HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "POST /product/trips HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "POST /product/get_reviews HTTP/1.0" 200 -
127.0.0.1 - - [18/Apr/2023 23:58:11] "POST /product/get_product_grade HTTP/1.0" 200 -
